week,day,rest_days,home_team,distance_travelled,opp,result,points_for,points_allowed,tot_yds,pass_yds,rush_yds,opp_tot_yds,opp_pass_yds,opp_rush_yds
1,Sun,10 days,True,0.0,Dallas Cowboys,L,0,40,171,63,108,265,143,122
2,Sun,7 days,False,2127.9931276107595,Arizona Cardinals,W,31,28,439,312,127,379,228,151
3,Thu,4 days,False,2541.979479209343,San Francisco 49ers,L,12,30,150,121,29,441,300,141
4,Mon,11 days,True,0.0,Seattle Seahawks,L,3,24,248,136,112,281,160,121
5,Sun,6 days,False,1066.3466580435988,Miami Dolphins,L,16,31,268,183,85,524,302,222
6,Sun,7 days,False,281.34515791595953,Buffalo Bills,,0,0,0,0,0,0,0,0
7,Sun,7 days,True,0.0,Washington Commanders,,0,0,0,0,0,0,0,0
8,Sun,7 days,True,0.0,New York Jets,,0,0,0,0,0,0,0,0
9,Sun,7 days,False,2221.735410856061,Las Vegas Raiders,,0,0,0,0,0,0,0,0
10,Sun,7 days,False,1369.6593216252013,Dallas Cowboys,,0,0,0,0,0,0,0,0
11,Sun,7 days,False,211.4634318634832,Washington Commanders,,0,0,0,0,0,0,0,0
12,Sun,7 days,True,0.0,New England Patriots,,0,0,0,0,0,0,0,0
14,Mon,15 days,True,0.0,Green Bay Packers,,0,0,0,0,0,0,0,0
15,Sun,6 days,False,1166.3754045219,New Orleans Saints,,0,0,0,0,0,0,0,0
16,Mon,8 days,False,72.91007226208488,Philadelphia Eagles,,0,0,0,0,0,0,0,0
17,Sun,6 days,True,0.0,Los Angeles Rams,,0,0,0,0,0,0,0,0
18,Sun,7 days,True,0.0,Philadelphia Eagles,,0,0,0,0,0,0,0,0
